Time,Temperature(C),Humidity(%),Light(lux),Behavior
2025-04-01 00:00,29.2,58.2,1374,Sleeping
2025-04-01 00:10,31.7,57.5,1756,Sleeping
2025-04-01 00:20,25.1,56.4,1802,Sleeping
2025-04-01 00:30,27.3,52.1,1397,Sleeping
2025-04-01 00:40,30.6,68.7,1589,Grooming
2025-04-01 00:50,29.3,64.6,1624,Sleeping
2025-04-01 01:00,29.2,59.7,1103,Sleeping
2025-04-01 01:10,30.9,59.5,1411,Idle
2025-04-01 01:20,29.3,58.6,1513,Sleeping
2025-04-01 01:30,26.1,60.2,810,Grooming
2025-04-01 01:40,29.8,61.8,1178,Sleeping
2025-04-01 01:50,26.2,50.0,1889,Grooming
2025-04-01 02:00,31.8,67.3,1680,Sleeping
2025-04-01 02:10,30.3,55.1,1161,Sleeping
2025-04-01 02:20,27.5,68.5,1536,Sleeping
2025-04-01 02:30,26.5,54.8,1842,Idle
2025-04-01 02:40,30.4,60.4,1703,Sleeping
2025-04-01 02:50,28.6,65.0,2391,Idle
2025-04-01 03:00,29.5,58.0,1973,Sleeping
2025-04-01 03:10,27.8,53.1,902,Sleeping
2025-04-01 03:20,25.9,65.4,959,Grooming
2025-04-01 03:30,28.3,60.5,2464,Grooming
2025-04-01 03:40,30.9,62.1,1561,Sleeping
2025-04-01 03:50,27.8,54.0,2086,Idle
2025-04-01 04:00,31.5,63.6,2308,Idle
2025-04-01 04:10,26.9,60.0,1349,Sleeping
2025-04-01 04:20,28.6,61.3,700,Idle
2025-04-01 04:30,27.1,56.7,2426,Sleeping
2025-04-01 04:40,25.0,58.7,1389,Sleeping
2025-04-01 04:50,26.2,62.7,700,Idle
2025-04-01 05:00,25.0,67.5,717,Grooming
2025-04-01 05:10,29.1,58.9,2424,Idle
2025-04-01 05:20,27.6,61.2,1774,Sleeping
2025-04-01 05:30,26.5,62.2,1515,Sleeping
2025-04-01 05:40,28.8,62.9,1391,Sleeping
2025-04-01 05:50,27.4,57.6,1581,Sleeping
2025-04-01 06:00,27.0,60.9,2097,Eating
2025-04-01 06:10,27.1,54.6,1622,Eating
2025-04-01 06:20,28.0,58.9,1443,Eating
2025-04-01 06:30,27.6,60.0,1730,Eating
2025-04-01 06:40,27.0,59.3,1550,Eating
2025-04-01 06:50,31.5,64.4,2038,Eating
2025-04-01 07:00,30.1,60.0,939,Eating
2025-04-01 07:10,26.9,55.2,1516,Eating
2025-04-01 07:20,32.7,57.4,1157,Grooming
2025-04-01 07:30,25.7,57.7,1410,Grooming
2025-04-01 07:40,29.1,59.2,1691,Eating
2025-04-01 07:50,31.0,58.2,1473,Eating
2025-04-01 08:00,25.0,64.4,1713,Eating
2025-04-01 08:10,30.2,61.9,1131,Grooming
2025-04-01 08:20,26.1,67.5,992,Grooming
2025-04-01 08:30,30.2,57.7,2226,Grooming
2025-04-01 08:40,26.7,55.4,755,Eating
2025-04-01 08:50,26.5,59.0,1087,Eating
2025-04-01 09:00,30.1,62.5,1943,Eating
2025-04-01 09:10,26.5,61.7,1042,Eating
2025-04-01 09:20,28.7,55.7,1853,Eating
2025-04-01 09:30,25.8,62.0,2700,Grooming
2025-04-01 09:40,26.8,65.4,1139,Grooming
2025-04-01 09:50,30.9,60.6,1185,Grooming
2025-04-01 10:00,30.8,55.7,2157,Idle
2025-04-01 10:10,28.8,67.3,2180,Idle
2025-04-01 10:20,27.8,58.2,1746,Running
2025-04-01 10:30,25.8,61.1,2142,Idle
2025-04-01 10:40,28.7,61.4,1602,Running
2025-04-01 10:50,27.9,62.8,2145,Eating
2025-04-01 11:00,27.8,51.0,1778,Grooming
2025-04-01 11:10,27.0,57.2,1802,Running
2025-04-01 11:20,29.1,57.3,1751,Running
2025-04-01 11:30,28.3,56.8,2270,Grooming
2025-04-01 11:40,30.7,54.0,1741,Grooming
2025-04-01 11:50,29.4,59.4,1872,Running
2025-04-01 12:00,25.6,56.8,2131,Eating
2025-04-01 12:10,29.7,70.0,1834,Eating
2025-04-01 12:20,29.8,66.2,1669,Idle
2025-04-01 12:30,25.4,55.5,700,Grooming
2025-04-01 12:40,33.1,56.6,1642,Grooming
2025-04-01 12:50,27.3,64.0,700,Idle
2025-04-01 13:00,27.1,61.3,1319,Running
2025-04-01 13:10,28.7,56.8,2476,Grooming
2025-04-01 13:20,30.5,65.1,1543,Idle
2025-04-01 13:30,30.5,61.6,2367,Grooming
2025-04-01 13:40,29.1,67.4,1872,Eating
2025-04-01 13:50,29.3,63.3,1821,Running
2025-04-01 14:00,30.7,64.1,1380,Idle
2025-04-01 14:10,28.4,63.8,722,Grooming
2025-04-01 14:20,30.1,62.4,772,Eating
2025-04-01 14:30,25.6,57.5,700,Idle
2025-04-01 14:40,28.9,57.6,2254,Grooming
2025-04-01 14:50,29.0,63.7,1016,Running
2025-04-01 15:00,27.6,57.6,2227,Grooming
2025-04-01 15:10,27.7,61.3,1921,Running
2025-04-01 15:20,28.8,63.1,2298,Grooming
2025-04-01 15:30,29.8,64.4,2220,Grooming
2025-04-01 15:40,27.3,62.8,1347,Running
2025-04-01 15:50,25.6,61.8,1517,Eating
2025-04-01 16:00,28.3,60.8,1815,Running
2025-04-01 16:10,25.0,56.7,2541,Grooming
2025-04-01 16:20,26.5,56.8,1535,Running
2025-04-01 16:30,30.6,58.0,700,Eating
2025-04-01 16:40,25.7,57.2,1431,Eating
2025-04-01 16:50,30.4,57.9,1056,Grooming
2025-04-01 17:00,29.4,69.8,1959,Running
2025-04-01 17:10,26.4,57.2,1847,Running
2025-04-01 17:20,27.6,56.4,1390,Running
2025-04-01 17:30,31.6,62.4,1996,Running
2025-04-01 17:40,30.0,61.5,2315,Eating
2025-04-01 17:50,27.6,61.5,700,Running
2025-04-01 18:00,27.7,65.2,2235,Eating
2025-04-01 18:10,27.7,59.6,1843,Running
2025-04-01 18:20,27.3,61.8,1660,Running
2025-04-01 18:30,30.0,55.9,1595,Running
2025-04-01 18:40,29.8,59.5,827,Running
2025-04-01 18:50,27.5,50.0,2430,Eating
2025-04-01 19:00,30.6,60.3,1316,Running
2025-04-01 19:10,29.4,61.9,1753,Running
2025-04-01 19:20,28.6,54.7,2700,Running
2025-04-01 19:30,27.1,62.4,1587,Running
2025-04-01 19:40,27.7,60.5,1491,Running
2025-04-01 19:50,28.3,55.5,1513,Running
2025-04-01 20:00,28.2,61.5,2094,Running
2025-04-01 20:10,30.8,64.5,2200,Eating
2025-04-01 20:20,29.9,56.2,1423,Running
2025-04-01 20:30,29.2,58.8,1650,Running
2025-04-01 20:40,30.6,56.8,2132,Eating
2025-04-01 20:50,28.6,64.0,1525,Running
2025-04-01 21:00,26.2,55.4,2244,Sleeping
2025-04-01 21:10,27.1,63.4,967,Idle
2025-04-01 21:20,30.6,57.6,1628,Sleeping
2025-04-01 21:30,26.5,59.4,1462,Sleeping
2025-04-01 21:40,29.8,59.2,700,Grooming
2025-04-01 21:50,29.3,54.8,700,Grooming
2025-04-01 22:00,25.0,56.6,2328,Grooming
2025-04-01 22:10,28.1,62.3,1586,Sleeping
2025-04-01 22:20,29.0,59.8,714,Grooming
2025-04-01 22:30,26.3,59.1,1723,Sleeping
2025-04-01 22:40,26.0,63.0,1951,Sleeping
2025-04-01 22:50,27.3,62.8,1822,Sleeping
2025-04-01 23:00,27.5,58.9,2208,Grooming
2025-04-01 23:10,29.3,65.4,1626,Sleeping
2025-04-01 23:20,28.2,61.7,1936,Sleeping
2025-04-01 23:30,26.5,50.6,1401,Sleeping
2025-04-01 23:40,27.1,54.4,726,Idle
2025-04-01 23:50,32.3,58.6,1452,Grooming
2025-04-02 00:00,29.1,67.4,1863,Grooming
2025-04-02 00:10,26.9,58.2,1856,Sleeping
2025-04-02 00:20,28.5,54.8,1661,Sleeping
2025-04-02 00:30,26.1,63.8,2593,Grooming
2025-04-02 00:40,29.9,61.4,1384,Sleeping
2025-04-02 00:50,29.9,57.5,1873,Sleeping
2025-04-02 01:00,27.0,57.4,1001,Sleeping
2025-04-02 01:10,25.0,60.7,2097,Idle
2025-04-02 01:20,25.4,61.9,1298,Sleeping
2025-04-02 01:30,25.5,57.2,2042,Sleeping
2025-04-02 01:40,29.4,60.5,1697,Sleeping
2025-04-02 01:50,29.6,56.4,1700,Sleeping
2025-04-02 02:00,28.8,63.6,853,Idle
2025-04-02 02:10,28.1,66.3,1511,Sleeping
2025-04-02 02:20,26.9,64.7,2087,Grooming
2025-04-02 02:30,30.0,57.7,2048,Grooming
2025-04-02 02:40,27.7,58.7,1963,Sleeping
2025-04-02 02:50,25.9,64.8,2148,Grooming
2025-04-02 03:00,26.9,57.0,2156,Sleeping
2025-04-02 03:10,30.3,55.1,1343,Grooming
2025-04-02 03:20,26.1,63.2,1934,Sleeping
2025-04-02 03:30,25.7,60.9,1328,Idle
2025-04-02 03:40,31.4,56.4,1074,Grooming
2025-04-02 03:50,31.3,59.2,2192,Idle
2025-04-02 04:00,25.0,56.7,1663,Sleeping
2025-04-02 04:10,28.7,61.1,1905,Sleeping
2025-04-02 04:20,29.7,61.7,2193,Sleeping
2025-04-02 04:30,29.8,55.3,2600,Sleeping
2025-04-02 04:40,31.8,57.1,1314,Sleeping
2025-04-02 04:50,31.1,61.9,1219,Idle
2025-04-02 05:00,30.6,59.1,1539,Idle
